,NRMSE_Elbow,NRMSE_Shoulder,Slope_Elbow,Slope_Shoulder,Correlation_Elbow,Correlation_Shoulder
vol01_freq02_amp01,0.7535436915176905,0.7480357682660527,0.33676072684353653,0.3173277653603183,0.452971848573538,0.43838430555147617
vol01_freq02_amp02,0.6574028638728611,0.5962951426856389,0.4565792050405298,0.5859878338131466,0.5971376179549804,0.6996784705681082
vol01_freq03_amp01,0.5984852305628693,0.6855613078570493,0.5555338856032598,0.48221791687741455,0.6884433310519604,0.5721232441317609
vol01_freq03_amp02,0.5240110367336788,0.6095310288917738,0.6621977230027233,0.5842455906016495,0.7446363581094999,0.6712144676724952
vol03_freq02_amp01,0.8878187669789552,0.8708223938816843,0.2476425091242111,0.16218269143548883,0.28531095339956636,0.22720048078622948
vol03_freq02_amp02,0.7454382958711062,0.7178259952314245,0.3780727301667529,0.42824781698741543,0.4679243825006435,0.525229479216973
vol03_freq03_amp01,0.6425016290016878,0.8254532843206074,0.5462604914977808,0.31700235876628774,0.6299659809177021,0.39317234430717474
vol03_freq03_amp02,0.7258642191239567,0.8537074728312556,0.40961673459295306,0.29108074951784735,0.5063143464046845,0.33298679342374626
vol04_freq02_amp01,0.7366798254275848,0.781818561071202,0.3443340523050458,0.2222728670504051,0.4723841590430281,0.3273305170217644
vol04_freq02_amp02,0.6379014855552588,0.7607609452206961,0.5746247358800314,0.35391991318486726,0.6434550080580513,0.4570059138603435
vol04_freq03_amp01,0.6119699832257084,0.7202878106508038,0.5621305296419364,0.3744066234381197,0.6680679818297595,0.47864462745029623
vol04_freq03_amp02,0.6320673343448588,0.6366281029510815,0.5329274147448885,0.5489226728612137,0.6342976952062045,0.6516497019337704
vol05_freq02_amp01,0.8171751517350135,0.8304911604361649,0.19416483228534656,0.20820317041839004,0.2761956533928925,0.2998137092838062
vol05_freq02_amp02,0.8609901074269758,0.8193863508736774,0.19341279540869533,0.36817938782246923,0.26353594108094297,0.4216180772052492
vol05_freq03_amp01,0.980836619775312,0.9963982190860162,0.32106948098353794,0.09291267378711829,0.302562744578731,0.11554142715749131
vol05_freq03_amp02,0.6729286132435032,0.7657287224267508,0.5629538384552372,0.37486025844023296,0.6008128561976953,0.27355858773914016
vol08_freq02_amp01,0.6393877683718754,0.7801983963186182,0.5339036135487346,0.26345472475892434,0.6532268393057038,0.4116874805386557
vol08_freq02_amp02,0.6242510439488305,0.5830806173485181,0.6338133861647128,0.56724096049027,0.6722014259443135,0.7061209656948375
vol08_freq03_amp01,0.5699230730851912,0.6054401916193398,0.7214770425735483,0.52746152431868,0.7302835915945908,0.6605462351876153
vol08_freq03_amp02,0.5129774664928245,0.5997347952925145,0.7331971337191932,0.5812321610703038,0.7760919356582522,0.6692602613761213
vol10_freq02_amp01,0.7097688159741283,0.7530700868627461,0.4550027960999578,0.40928630181138553,0.5434877431417414,0.47466264280159676
vol10_freq02_amp02,0.6286227887070018,0.6376450826502608,0.48699345045676656,0.4193485492735651,0.6372736131519976,0.5845387656719884
vol10_freq03_amp01,0.6705506411107827,0.695974013350738,0.5008506404574493,0.3732924263829789,0.5996986147193367,0.5188149465905155
vol10_freq03_amp02,0.6614383615000405,0.6919210963436452,0.47340389112524506,0.5668143918371858,0.46884009613829297,0.5402567881798537
count,24.0,24.0,24.0,24.0,24.0,24.0
mean,0.6876056172328208,0.7319081894361775,0.4757051516550865,0.3925042220960699,0.5547966965814212,0.47712667638962536
std,0.11214445345575788,0.10426393084947722,0.14982080747505197,0.1430831413948086,0.15262917347184293,0.16082410861160032
min,0.5129774664928245,0.5830806173485181,0.19341279540869533,0.09291267378711829,0.26353594108094297,0.11554142715749131
25%,0.627529852517459,0.637390837725466,0.36963806070132615,0.31052195645417763,0.4686111677288806,0.37812595658631765
50%,0.6594206126864508,0.7341617894584282,0.49392204545710794,0.37463344093917633,0.6002557354585161,0.4766536351259465
75%,0.7388694430384651,0.7912105085218208,0.5623363568452616,0.5328268114543134,0.6569371249367177,0.6013164997374338
max,0.980836619775312,0.9963982190860162,0.7331971337191932,0.5859878338131466,0.7760919356582522,0.7061209656948375
